new,temp,humi,movement,vacc,naver
2,6.0,46.8,5737720,0.0,38.7914
0,7.9,47.8,5812683,0.0,37.40814
0,9.9,55.6,6019194,0.0,34.08444
1,13.1,54.4,5629506,0.0,29.212130000000002
0,12.3,43.1,5154352,0.0,31.534760000000002
0,12.9,49.8,5853013,0.0,35.56589
4,13.9,50.0,5958074,0.0,32.13458
0,14.9,48.6,6156296,0.0,34.391870000000004
0,17.1,57.1,5372042,0.0,28.762069999999998
1,20.2,73.6,5117175,0.0,31.042769999999997
1,20.3,79.6,5155218,0.0,14.374830000000001
2,21.8,68.8,5012908,0.0,29.88128
0,20.2,63.9,5583233,0.0,22.85413
0,16.0,67.9,5094080,0.0,26.13991
0,19.4,50.0,5709816,0.0,29.08334
0,20.7,32.5,5799255,0.0,32.80781
11,19.9,32.8,5972733,0.0,35.93286
10,14.2,94.4,5481111,0.0,27.191409999999998
11,14.4,88.6,5181901,0.0,31.113400000000002
21,16.5,61.0,5695249,0.0,31.07914
13,14.3,69.4,5743052,0.0,29.267229999999998
5,16.1,47.3,5824475,0.0,31.67349
6,19.3,35.4,5845556,0.0,33.31125000000001
11,16.1,81.4,5834737,0.0,28.75196
6,16.7,90.3,5701079,0.0,26.62816
4,19.1,80.1,5336988,0.0,24.381569999999996
1,19.1,79.4,5665567,0.0,22.785430000000005
14,13.0,73.6,5815107,0.0,24.6314
3,14.4,60.4,5989397,0.0,21.95635
3,17.4,56.1,6019179,0.0,19.29796
3,18.5,68.5,6140154,0.0,19.92908
3,20.1,66.1,5888216,0.0,16.86834
6,17.1,84.8,5344726,0.0,15.492709999999999
8,16.6,81.0,5937603,0.0,19.129089999999998
16,16.2,81.9,5941570,0.0,18.823140000000002
15,17.4,68.5,6086859,0.0,21.7693
21,18.7,62.8,6060135,0.0,30.942600000000002
18,20.7,65.6,6206003,0.0,28.95549
9,22.6,57.3,5831426,0.0,20.945059999999998
6,21.2,63.0,5384423,0.0,15.19385
2,19.7,64.3,5555099,0.0,17.48197
15,17.9,71.0,5523031,0.0,16.318920000000002
18,22.0,73.3,5712016,0.0,16.734550000000002
20,21.9,81.1,5727350,0.0,14.91248
13,23.0,69.4,5906195,0.0,13.14364
23,24.6,63.6,5390713,0.0,14.930100000000001
27,22.7,69.4,5085072,0.0,15.93947
18,25.0,63.6,5681403,0.0,16.87403
22,26.7,51.6,5744060,0.0,15.790579999999999
10,25.8,63.8,5749022,0.0,13.82742
19,26.1,68.3,5832479,0.0,12.37763
24,24.7,68.6,5983289,0.0,13.17169
29,26.9,52.8,5636795,0.0,10.67562
12,24.0,70.6,5142997,0.0,10.21842
7,23.0,62.3,5797943,0.0,12.80916
12,24.4,63.0,5853847,0.0,11.47165
13,24.3,58.6,5918981,0.0,11.73166
25,23.4,61.4,5906338,0.0,10.63308
18,24.7,61.4,6073578,0.0,11.18547
14,24.9,62.6,5691116,0.0,10.910599999999999
17,26.1,59.5,5193394,0.0,10.59137
5,28.6,50.5,5802463,0.0,12.10054
6,27.3,53.5,5898544,0.0,12.930629999999999
11,22.3,83.5,5739346,0.0,10.73859
9,21.6,91.0,5909685,0.0,10.55666
17,21.8,82.1,6159108,0.0,10.31948
17,24.1,70.4,5809423,0.0,9.62613
14,25.2,70.5,5306307,0.0,10.31906
7,23.8,77.0,5867877,0.0,11.522359999999999
7,20.1,83.0,5902526,0.0,10.18223
9,21.1,79.3,5589367,0.0,10.7493
13,24.2,74.5,5624065,0.0,11.56262
12,25.5,63.5,5798332,0.0,11.71229
7,24.2,63.9,5570484,0.0,10.65114
16,23.8,68.6,5127384,0.0,10.81331
3,25.6,66.6,5579602,0.0,11.62089
3,24.1,75.5,5654124,0.0,10.0715
10,25.5,71.9,5732145,0.0,11.33429
8,27.5,64.6,5732217,0.0,10.35053
8,24.5,75.0,6127070,0.0,8.8895
8,25.8,62.6,5900439,0.0,7.70503
7,23.5,71.9,5311572,0.0,7.648359999999999
13,18.7,94.8,5662315,0.0,8.493260000000001
7,20.3,79.4,5959191,0.0,8.856150000000001
6,23.4,63.1,6092292,0.0,7.96965
7,25.0,70.9,6102868,0.0,7.70066
9,26.0,72.0,6209530,0.0,8.32227
6,26.1,71.6,5920846,0.0,7.573580000000001
10,24.0,81.6,5351735,0.0,6.867900000000001
3,23.8,86.3,5928562,0.0,7.86243
21,25.0,77.0,6093433,0.0,8.56742
16,23.7,89.3,6002767,0.0,8.478349999999999
12,21.1,95.5,5875356,0.0,7.7585299999999995
21,22.5,74.3,6292089,0.0,7.73543
11,24.3,69.3,6010572,0.0,9.113809999999999
7,25.4,69.3,5513887,0.0,8.284329999999999
9,24.3,86.4,5956923,0.0,7.5889299999999995
6,24.4,84.8,6070883,0.0,7.18069
9,23.7,95.8,6017310,0.0,6.9360800000000005
3,25.3,85.5,6180146,0.0,7.175790000000001
8,26.2,81.9,6312579,0.0,7.77085
2,25.3,90.9,5250601,0.0,6.14015
5,24.9,96.3,4763639,0.0,5.088839999999999
5,25.0,96.3,5150096,0.0,5.65047
9,27.0,89.3,5595100,0.0,6.88237
6,26.5,92.1,5631616,0.0,5.998499999999999
9,24.1,92.8,5703595,0.0,5.809380000000001
9,24.3,85.3,5977830,0.0,6.01241
17,24.2,89.5,5612554,0.0,4.63985
13,24.9,95.4,4890376,0.0,3.9679200000000003
13,26.5,91.6,5638754,0.0,4.638859999999999
6,24.6,92.5,5806417,0.0,6.47513
